2015-07-30 11:14:49 INFO  :50 - Opening stream to bank of israel
2015-07-30 11:14:49 INFO  :87 - Closing stream with bank of israel
2015-07-30 11:14:52 INFO  :180 - Successfully built GUI
2015-07-30 11:14:52 INFO  :124 - Next update in 10 minutes
2015-07-30 11:25:59 INFO  :126 - Table updated
2015-07-30 11:25:59 INFO  :158 - Update thread threw an exception
2015-07-30 11:25:59 INFO  :124 - Next update in 10 minutes
2015-07-30 13:36:02 INFO  :126 - Table updated
2015-07-30 13:37:58 INFO  :124 - Next update in 10 minutes
2015-07-30 13:47:58 INFO  :126 - Table updated
2015-07-30 13:47:58 INFO  :158 - Update thread threw an exception
2015-07-30 13:47:58 INFO  :124 - Next update in 10 minutes
2015-07-30 13:57:58 INFO  :126 - Table updated
2015-07-30 13:57:58 INFO  :158 - Update thread threw an exception
2015-07-30 13:57:58 INFO  :124 - Next update in 10 minutes
2015-07-30 14:07:58 INFO  :126 - Table updated
2015-07-30 14:07:58 INFO  :158 - Update thread threw an exception
2015-07-30 14:07:58 INFO  :124 - Next update in 10 minutes
2015-07-30 14:17:58 INFO  :126 - Table updated
2015-07-30 14:17:58 INFO  :158 - Update thread threw an exception
2015-07-30 14:17:58 INFO  :124 - Next update in 10 minutes
2015-07-30 14:27:58 INFO  :126 - Table updated
2015-07-30 14:27:58 INFO  :158 - Update thread threw an exception
2015-07-30 14:27:58 INFO  :124 - Next update in 10 minutes
2015-07-30 14:37:58 INFO  :126 - Table updated
2015-07-30 14:37:58 INFO  :158 - Update thread threw an exception
2015-07-30 14:37:58 INFO  :124 - Next update in 10 minutes
2015-07-30 17:34:59 INFO  :126 - Table updated
2015-07-30 17:34:59 INFO  :124 - Next update in 10 minutes
2015-07-31 11:23:12 INFO  :55 - Program starting
2015-07-31 11:23:12 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:23:12 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:23:14 INFO  :181 - Successfully built GUI
2015-07-31 11:23:14 INFO  :124 - Next update in 10 minutes
2015-07-31 11:25:52 INFO  :55 - Program starting
2015-07-31 11:25:52 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:25:52 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:25:54 INFO  :187 - Successfully built GUI
2015-07-31 11:25:54 INFO  :124 - Next update in 10 minutes
2015-07-31 11:27:38 INFO  :55 - Program starting
2015-07-31 11:27:38 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:27:39 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:27:41 INFO  :182 - Successfully built GUI
2015-07-31 11:27:41 INFO  :124 - Next update in 10 minutes
2015-07-31 11:35:46 INFO  :55 - Program starting
2015-07-31 11:35:46 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:35:46 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:35:48 INFO  :187 - Successfully built GUI
2015-07-31 11:35:48 INFO  :124 - Next update in 10 minutes
2015-07-31 11:37:47 INFO  :55 - Program starting
2015-07-31 11:37:47 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:37:47 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:37:49 INFO  :189 - Successfully built GUI
2015-07-31 11:37:49 INFO  :124 - Next update in 10 minutes
2015-07-31 11:42:50 INFO  :55 - Program starting
2015-07-31 11:42:50 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:42:51 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:42:52 INFO  :189 - Successfully built GUI
2015-07-31 11:42:52 INFO  :124 - Next update in 10 minutes
2015-07-31 11:49:41 INFO  :56 - Program starting
2015-07-31 11:49:41 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:49:41 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:49:43 INFO  :188 - Successfully built GUI
2015-07-31 11:49:43 INFO  :124 - Next update in 10 minutes
2015-07-31 11:51:04 INFO  :56 - Program starting
2015-07-31 11:51:04 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:51:04 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:51:06 INFO  :188 - Successfully built GUI
2015-07-31 11:51:06 INFO  :124 - Next update in 10 minutes
2015-07-31 11:57:14 INFO  :56 - Program starting
2015-07-31 11:57:14 INFO  :50 - Opening stream to bank of israel
2015-07-31 11:57:14 INFO  :87 - Closing stream with bank of israel
2015-07-31 11:57:16 INFO  :190 - Successfully built GUI
2015-07-31 11:57:16 INFO  :124 - Next update in 10 minutes
2015-07-31 11:57:23 INFO  :105 - Amount: 100.0From: NIS
2015-07-31 11:57:23 INFO  :105 - Amount: 100.0From: NIS
2015-07-31 11:57:35 INFO  :154 - To: USDResult: null
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
2015-07-31 11:57:35 INFO  :154 - To: USDResult: 26.448029621793175
